R-PEAK INDEX, TIME, AMPLITUDE
184102,1841.02,80
184131,1841.31,59
184179,1841.79,122
184258,1842.58,145
184338,1843.38,144
184416,1844.16,156
184495,1844.95,166
184575,1845.75,140
184656,1846.56,90
184735,1847.35,78
184816,1848.16,148
184898,1848.98,96
184982,1849.82,87
185063,1850.63,116
185145,1851.45,118
185225,1852.25,116
185307,1853.07,114
185389,1853.89,114
185470,1854.7,136
185551,1855.51,138
185631,1856.31,120
185712,1857.12,115
185793,1857.93,120
185874,1858.74,117
185955,1859.55,70
186035,1860.35,81
186115,1861.15,91
186195,1861.95,119
186275,1862.75,103
186352,1863.52,63
186430,1864.3,132
186509,1865.09,136
186538,1865.38,60
186585,1865.85,61
186662,1866.62,118
186691,1866.91,51
186739,1867.39,176
186768,1867.68,58
186816,1868.16,134
186845,1868.45,61
186892,1868.92,93
186967,1869.67,145
186997,1869.97,62
187042,1870.42,112
187071,1870.71,57
187118,1871.18,149
187146,1871.46,60
187192,1871.92,145
187267,1872.67,105
187296,1872.96,58
187342,1873.42,148
187371,1873.71,57
187416,1874.16,67
187443,1874.43,56
187491,1874.91,147
187567,1875.67,150
187596,1875.96,50
187644,1876.44,128
187673,1876.73,50
187721,1877.21,80
187798,1877.98,104
187877,1878.77,116
187955,1879.55,94
188034,1880.34,96
188115,1881.15,147
188196,1881.96,135
188276,1882.76,131
188357,1883.57,128
188439,1884.39,107
188521,1885.21,111
188602,1886.02,84
188683,1886.83,128
188764,1887.64,94
188846,1888.46,127
188927,1889.27,85
189007,1890.07,72
